Title,Artist,Position,ID,Year,Tonality,MIC,RIC,Unique Word Ratio
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_1,1958,0.54,0.5577652934345705,0.19048296279324733,0.75
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_1,1958,0.54,0.5577652934345705,0.19048296279324733,0.44
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_2,1958,0.62,0.7181176007469384,0.555027357763259,0.75
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_2,1958,0.62,0.7181176007469384,0.555027357763259,0.44
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_3,1958,0.61,0.4644312465809872,0.3243563346949975,0.75
Volare (Nel blu dipinto di blu),Domenico Modugno,1,1958_01_3,1958,0.61,0.4644312465809872,0.3243563346949975,0.44
All I Have to Do Is Dream,The Everly Brothers,2a,1958_02a_1,1958,0.73,0.7131327383468359,0.24991496657155218,0.28
All I Have to Do Is Dream,The Everly Brothers,2a,1958_02a_2,1958,0.56,0.627617627112183,0.29002472540216556,0.28
Claudette,The Everly Brothers,2b,1958_02b_1,1958,0.78,0.6033907806832742,0.1276748704806714,0.36
Claudette,The Everly Brothers,2b,1958_02b_2,1958,0.5,0.46857002093261785,0.3174289120948484,0.36
Don't,Elvis Presley,3a,1958_03a_1,1958,0.83,0.9916275768339295,0.6604851920559143,0.47
Don't,Elvis Presley,3a,1958_03a_2,1958,0.78,0.9636958046338822,0.436221980307156,0.47
Don't,Elvis Presley,3a,1958_03a_3,1958,0.8,0.9492803816313212,0.5834626194701499,0.47
Don't,Elvis Presley,3a,1958_03a_4,1958,0.76,0.8364142320160589,0.4603880299192466,0.47
I Beg of You,Elvis Presley,3b,1958_03b_1,1958,0.76,0.6243365342131122,0.4973324227462774,0.33
I Beg of You,Elvis Presley,3b,1958_03b_2,1958,0.8,0.8893111235808552,0.26292284787555403,0.33
I Beg of You,Elvis Presley,3b,1958_03b_3,1958,0.57,0.6336356497218241,0.3702849075295023,0.33
Witch Doctor,David Seville,4,1958_04_1,1958,0.8,0.45347368929945786,0.24084681993675933,0.16
Witch Doctor,David Seville,4,1958_04_2,1958,0.82,0.4423838892128916,0.21388871144690622,0.16
Witch Doctor,David Seville,4,1958_04_3,1958,0.55,0.4714846098110271,0.17688702202077997,0.16
Patricia,Perez Prado,5,1958_05_1,1958,0.74,0.34036868719692126,0.187381868626911,0.0
Patricia,Perez Prado,5,1958_05_2,1958,0.68,0.5412271961419931,0.23662729908685223,0.0
The Battle of New Orleans,Johnny Horton,1,1959_01_1,1959,0.77,0.5105044980404718,0.11659583302555342,0.33
The Battle of New Orleans,Johnny Horton,1,1959_01_2,1959,0.75,0.34485047740343966,0.1496402617639238,0.33
Mack the Knife,Bobby Darin,2,1959_02_1,1959,0.85,0.5359974541026439,0.3970790979228128,0.71
Mack the Knife,Bobby Darin,2,1959_02_1,1959,0.85,0.5359974541026439,0.3970790979228128,0.57
Mack the Knife,Bobby Darin,2,1959_02_2,1959,0.41,0.6601353351594446,0.3920788632851798,0.71
Mack the Knife,Bobby Darin,2,1959_02_2,1959,0.41,0.6601353351594446,0.3920788632851798,0.57
Mack the Knife,Bobby Darin,2,1959_02_3,1959,0.47,0.7097574800616583,0.42515201359240623,0.71
Mack the Knife,Bobby Darin,2,1959_02_3,1959,0.47,0.7097574800616583,0.42515201359240623,0.57
Mack the Knife,Bobby Darin,2,1959_02_4,1959,0.75,0.7575259743748259,0.4213255239661152,0.71
Mack the Knife,Bobby Darin,2,1959_02_4,1959,0.75,0.7575259743748259,0.4213255239661152,0.57
Personality,Lloyd Price,3,1959_03_1,1959,0.72,0.6596457531501273,0.3207537560748902,0.22
Personality,Lloyd Price,3,1959_03_2,1959,0.66,0.8752952653002151,0.45884008389652325,0.22
Personality,Lloyd Price,3,1959_03_3,1959,0.66,0.8030450114835505,0.40596017335963824,0.22
Venus,Frankie Avalon,4,1959_04_1,1959,0.85,0.7696020115201351,0.24474687194858974,0.92
Venus,Frankie Avalon,4,1959_04_1,1959,0.85,0.7696020115201351,0.24474687194858974,0.42
Venus,Frankie Avalon,4,1959_04_2,1959,0.62,0.8625016248049466,0.43775845235619854,0.92
Venus,Frankie Avalon,4,1959_04_2,1959,0.62,0.8625016248049466,0.43775845235619854,0.42
Venus,Frankie Avalon,4,1959_04_3,1959,0.67,0.9501048782941989,0.6252425082220181,0.92
Venus,Frankie Avalon,4,1959_04_3,1959,0.67,0.9501048782941989,0.6252425082220181,0.42
Lonely Boy,Paul Anka,5,1959_05_1,1959,0.62,0.5507443881905927,0.287096063225997,0.42
"The Theme from ""A Summer Place""",Percy Faith,1,1960_01_1,1960,0.84,0.43557317203048507,0.17140863187714084,0.0
"The Theme from ""A Summer Place""",Percy Faith,1,1960_01_2,1960,0.75,1.0,0.3025201758177356,0.0
"The Theme from ""A Summer Place""",Percy Faith,1,1960_01_3,1960,0.89,0.6091833346284028,0.17630762298455624,0.0
"The Theme from ""A Summer Place""",Percy Faith,1,1960_01_4,1960,0.84,0.47947170296998154,0.15480529372979898,0.0
"The Theme from ""A Summer Place""",Percy Faith,1,1960_01_5,1960,0.86,0.3370256919017126,0.006705699415511388,0.0
He'll Have to Go,Jim Reeves,2,1960_02_1,1960,0.81,0.715083106998118,0.601188384805296,0.45
He'll Have to Go,Jim Reeves,2,1960_02_2,1960,0.65,0.6805918257644813,0.6569848241208941,0.45
Cathy's Clown,The Everly Brothers,3,1960_03_1,1960,0.83,0.4991659715735475,0.3310643303706312,0.43
Cathy's Clown,The Everly Brothers,3,1960_03_2,1960,0.73,0.4236941873008312,0.2047248750954655,0.43
Running Bear,Johnny Preston,4,1960_04_1,1960,0.82,0.5756471974400997,0.24486178753173718,0.4
Running Bear,Johnny Preston,4,1960_04_2,1960,0.86,0.5916912278132159,0.4682021137269322,0.4
Teen Angel,Mark Dinning,5,1960_05_1,1960,0.88,0.6900376492429633,0.49644725623263025,0.46
Teen Angel,Mark Dinning,5,1960_05_2,1960,0.7,0.7881351492962593,0.3549606316972617,0.46
Tossin' and Turnin',Bobby Lewis,1,1961_01_1,1961,0.9,0.9789760530367817,0.37902301989196074,0.3
Tossin' and Turnin',Bobby Lewis,1,1961_01_2,1961,0.71,0.4885865471706026,0.24016578171605324,0.3
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_1,1961,0.71,0.6513762347405231,0.5841914732414566,0.43
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_2,1961,0.6,0.8578921121573707,0.38775100643601124,0.43
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_3,1961,0.69,0.7144226020496366,0.3883617940439133,0.43
Michael (Row the Boat Ashore),The Highwaymen,3,1961_03_1,1961,0.77,0.701112913257126,0.31276491031303266,0.31
Michael (Row the Boat Ashore),The Highwaymen,3,1961_03_2,1961,0.83,0.8460534738920953,0.2515399625988903,0.31
